EXTRACTED_DATE,EXTRACTED_TIME,STOCK_NAME,EXTRACTED_PRICE
15-12-2025,06:29:54,YESBANK,21.82
15-12-2025,06:34:55,YESBANK,21.83
15-12-2025,06:39:56,YESBANK,21.82
15-12-2025,06:44:57,YESBANK,21.79
15-12-2025,06:49:58,YESBANK,21.79
15-12-2025,06:54:59,YESBANK,21.8
15-12-2025,06:59:59,YESBANK,21.79
15-12-2025,07:05:00,YESBANK,21.79
15-12-2025,07:10:01,YESBANK,21.78
15-12-2025,07:14:53,YESBANK,21.79
15-12-2025,07:19:54,YESBANK,21.77
15-12-2025,07:24:55,YESBANK,21.78
15-12-2025,07:29:56,YESBANK,21.78
15-12-2025,07:34:57,YESBANK,21.79
15-12-2025,07:39:58,YESBANK,21.79
15-12-2025,07:44:06,YESBANK,21.79
15-12-2025,07:44:59,YESBANK,21.79
15-12-2025,07:49:07,YESBANK,21.79
15-12-2025,07:50:00,YESBANK,21.8
15-12-2025,07:54:08,YESBANK,21.81
15-12-2025,07:55:01,YESBANK,21.8
15-12-2025,07:59:09,YESBANK,21.8
15-12-2025,08:00:02,YESBANK,21.79
15-12-2025,08:04:10,YESBANK,21.79
15-12-2025,08:05:03,YESBANK,21.79
15-12-2025,08:09:12,YESBANK,21.79
15-12-2025,08:10:04,YESBANK,21.79
15-12-2025,08:14:13,YESBANK,21.79
15-12-2025,08:15:05,YESBANK,21.79
15-12-2025,08:19:14,YESBANK,21.79
15-12-2025,08:20:06,YESBANK,21.8
15-12-2025,08:24:15,YESBANK,21.79
15-12-2025,08:25:07,YESBANK,21.8
15-12-2025,08:29:16,YESBANK,21.8
15-12-2025,08:30:08,YESBANK,21.79
15-12-2025,08:34:16,YESBANK,21.79
15-12-2025,08:35:09,YESBANK,21.8
15-12-2025,08:39:18,YESBANK,21.8
15-12-2025,08:40:10,YESBANK,21.8
15-12-2025,08:44:19,YESBANK,21.79
15-12-2025,08:45:11,YESBANK,21.78
15-12-2025,08:49:20,YESBANK,21.78
15-12-2025,08:50:12,YESBANK,21.79
15-12-2025,08:54:21,YESBANK,21.79
15-12-2025,08:55:13,YESBANK,21.79
15-12-2025,08:59:22,YESBANK,21.79
15-12-2025,09:00:14,YESBANK,21.8
15-12-2025,09:04:22,YESBANK,21.78
15-12-2025,09:05:15,YESBANK,21.78
15-12-2025,09:09:23,YESBANK,21.78
15-12-2025,09:10:16,YESBANK,21.79
15-12-2025,09:14:24,YESBANK,21.77
15-12-2025,09:15:17,YESBANK,21.79
15-12-2025,09:19:26,YESBANK,21.79
15-12-2025,09:20:18,YESBANK,21.79
15-12-2025,09:27:11,YESBANK,21.77
15-12-2025,09:32:12,YESBANK,21.78
15-12-2025,09:37:13,YESBANK,21.78
15-12-2025,09:42:14,YESBANK,21.77
15-12-2025,09:47:15,YESBANK,21.76
15-12-2025,09:52:17,YESBANK,21.76
15-12-2025,09:57:18,YESBANK,21.77
15-12-2025,10:02:19,YESBANK,21.77
15-12-2025,10:07:20,YESBANK,21.77
15-12-2025,10:12:21,YESBANK,21.77
16-12-2025,14:16:59,YESBANK,21.44
