EXTRACTED_DATE,EXTRACTED_TIME,STOCK_NAME,EXTRACTED_PRICE
18-12-2025,05:20:04,YESBANK,21.52
18-12-2025,05:20:15,YESBANK,21.51
18-12-2025,05:20:26,YESBANK,21.52
18-12-2025,05:20:37,YESBANK,21.51
18-12-2025,05:20:48,YESBANK,21.51
18-12-2025,05:20:59,YESBANK,21.51
18-12-2025,05:21:02,YESBANK,21.51
18-12-2025,05:21:10,YESBANK,21.51
18-12-2025,05:21:13,YESBANK,21.51
18-12-2025,05:21:21,YESBANK,21.48
18-12-2025,05:21:24,YESBANK,21.48
18-12-2025,05:21:32,YESBANK,21.48
18-12-2025,05:21:36,YESBANK,21.48
18-12-2025,05:21:43,YESBANK,21.48
18-12-2025,05:21:47,YESBANK,21.48
18-12-2025,05:21:54,YESBANK,21.48
18-12-2025,05:21:57,YESBANK,21.48
18-12-2025,05:22:03,YESBANK,21.48
18-12-2025,05:22:05,YESBANK,21.48
18-12-2025,05:22:08,YESBANK,21.49
18-12-2025,05:22:14,YESBANK,21.48
18-12-2025,05:22:16,YESBANK,21.48
18-12-2025,05:22:19,YESBANK,21.49
18-12-2025,05:22:25,YESBANK,21.49
18-12-2025,05:22:27,YESBANK,21.48
18-12-2025,05:22:30,YESBANK,21.48
18-12-2025,05:22:36,YESBANK,21.48
18-12-2025,05:22:38,YESBANK,21.48
18-12-2025,05:22:41,YESBANK,21.48
18-12-2025,05:22:46,YESBANK,21.48
18-12-2025,05:22:49,YESBANK,21.48
18-12-2025,05:22:52,YESBANK,21.48
18-12-2025,05:22:57,YESBANK,21.48
18-12-2025,05:23:00,YESBANK,21.48
18-12-2025,05:23:02,YESBANK,21.48
18-12-2025,05:23:03,YESBANK,21.48
18-12-2025,05:23:08,YESBANK,21.48
18-12-2025,05:23:10,YESBANK,21.48
18-12-2025,05:23:13,YESBANK,21.48
18-12-2025,05:23:14,YESBANK,21.48
18-12-2025,05:23:19,YESBANK,21.48
18-12-2025,05:23:21,YESBANK,21.48
18-12-2025,05:23:24,YESBANK,21.48
18-12-2025,05:23:25,YESBANK,21.48
18-12-2025,05:23:30,YESBANK,21.48
18-12-2025,05:23:32,YESBANK,21.48
18-12-2025,05:23:35,YESBANK,21.48
18-12-2025,05:23:35,YESBANK,21.48
18-12-2025,05:23:41,YESBANK,21.47
18-12-2025,05:23:43,YESBANK,21.47
18-12-2025,05:23:46,YESBANK,21.47
18-12-2025,05:23:46,YESBANK,21.47
18-12-2025,05:23:52,YESBANK,21.47
18-12-2025,05:23:54,YESBANK,21.47
18-12-2025,05:23:57,YESBANK,21.47
18-12-2025,05:23:57,YESBANK,21.48
18-12-2025,05:24:02,YESBANK,21.48
18-12-2025,05:24:03,YESBANK,21.48
18-12-2025,05:24:05,YESBANK,21.48
18-12-2025,05:24:08,YESBANK,21.48
18-12-2025,05:24:08,YESBANK,21.48
18-12-2025,05:24:13,YESBANK,21.48
18-12-2025,05:24:14,YESBANK,21.47
18-12-2025,05:24:16,YESBANK,21.47
18-12-2025,05:24:19,YESBANK,21.47
18-12-2025,05:24:20,YESBANK,21.47
18-12-2025,05:24:24,YESBANK,21.47
18-12-2025,05:24:25,YESBANK,21.47
18-12-2025,05:24:27,YESBANK,21.47
18-12-2025,05:24:30,YESBANK,21.47
18-12-2025,05:24:31,YESBANK,21.47
18-12-2025,05:24:36,YESBANK,21.48
18-12-2025,05:24:36,YESBANK,21.48
18-12-2025,05:24:38,YESBANK,21.48
18-12-2025,05:24:41,YESBANK,21.48
18-12-2025,05:24:42,YESBANK,21.49
18-12-2025,05:24:46,YESBANK,21.49
18-12-2025,05:24:47,YESBANK,21.49
18-12-2025,05:24:49,YESBANK,21.49
18-12-2025,05:24:52,YESBANK,21.49
18-12-2025,05:24:52,YESBANK,21.49
18-12-2025,05:24:57,YESBANK,21.49
18-12-2025,05:24:58,YESBANK,21.49
18-12-2025,05:25:00,YESBANK,21.49
18-12-2025,05:25:02,YESBANK,21.49
18-12-2025,05:25:03,YESBANK,21.49
18-12-2025,05:25:04,YESBANK,21.48
18-12-2025,05:25:08,YESBANK,21.48
18-12-2025,05:25:08,YESBANK,21.48
18-12-2025,05:25:11,YESBANK,21.48
18-12-2025,05:25:13,YESBANK,21.48
18-12-2025,05:25:14,YESBANK,21.48
18-12-2025,05:25:15,YESBANK,21.48
18-12-2025,05:25:19,YESBANK,21.48
18-12-2025,05:25:19,YESBANK,21.48
18-12-2025,05:25:22,YESBANK,21.48
18-12-2025,05:25:24,YESBANK,21.48
18-12-2025,05:25:25,YESBANK,21.48
18-12-2025,05:25:26,YESBANK,21.48
18-12-2025,05:25:30,YESBANK,21.48
18-12-2025,05:25:30,YESBANK,21.48
18-12-2025,05:25:33,YESBANK,21.48
18-12-2025,05:25:35,YESBANK,21.49
18-12-2025,05:25:36,YESBANK,21.49
18-12-2025,05:25:37,YESBANK,21.49
18-12-2025,05:25:41,YESBANK,21.49
18-12-2025,05:25:41,YESBANK,21.49
18-12-2025,05:25:44,YESBANK,21.48
18-12-2025,05:25:46,YESBANK,21.48
18-12-2025,05:25:47,YESBANK,21.48
18-12-2025,05:25:48,YESBANK,21.48
18-12-2025,05:25:52,YESBANK,21.48
18-12-2025,05:25:52,YESBANK,21.48
18-12-2025,05:25:55,YESBANK,21.48
18-12-2025,05:25:57,YESBANK,21.48
18-12-2025,05:25:58,YESBANK,21.48
18-12-2025,05:25:59,YESBANK,21.46
18-12-2025,05:26:02,YESBANK,21.46
18-12-2025,05:26:02,YESBANK,21.46
18-12-2025,05:26:03,YESBANK,21.46
