EXTRACTED_DATE,EXTRACTED_TIME,STOCK_NAME,EXTRACTED_PRICE
22-12-2025,11:46:01,CYBERTECH,146.99
22-12-2025,11:46:32,CYBERTECH,146.99
22-12-2025,11:47:03,CYBERTECH,146.99
22-12-2025,11:47:35,CYBERTECH,146.99
22-12-2025,11:48:06,CYBERTECH,146.99
22-12-2025,11:48:37,CYBERTECH,146.99
22-12-2025,11:49:09,CYBERTECH,146.99
22-12-2025,11:49:40,CYBERTECH,146.99
22-12-2025,11:50:11,CYBERTECH,146.99
22-12-2025,11:52:05,CYBERTECH,146.99
22-12-2025,11:52:36,CYBERTECH,146.99
22-12-2025,11:53:07,CYBERTECH,146.8
22-12-2025,11:53:38,CYBERTECH,146.8
22-12-2025,11:54:10,CYBERTECH,146.8
22-12-2025,11:54:41,CYBERTECH,146.8
22-12-2025,11:55:12,CYBERTECH,146.8
22-12-2025,11:55:44,CYBERTECH,146.8
22-12-2025,11:56:15,CYBERTECH,146.8
22-12-2025,11:56:46,CYBERTECH,146.8
22-12-2025,11:57:18,CYBERTECH,146.8
22-12-2025,11:57:49,CYBERTECH,146.8
22-12-2025,11:58:20,CYBERTECH,145.4
22-12-2025,11:58:52,CYBERTECH,145.4
22-12-2025,11:59:23,CYBERTECH,145.4
22-12-2025,11:59:54,CYBERTECH,145.4
22-12-2025,12:00:25,CYBERTECH,145.4
22-12-2025,12:00:56,CYBERTECH,145.4
22-12-2025,12:01:28,CYBERTECH,145.4
22-12-2025,12:02:00,CYBERTECH,145.4
22-12-2025,12:02:31,CYBERTECH,145.4
22-12-2025,12:03:03,CYBERTECH,145.4
22-12-2025,12:03:35,CYBERTECH,145.68
22-12-2025,12:04:07,CYBERTECH,145.68
22-12-2025,12:04:38,CYBERTECH,145.68
22-12-2025,12:05:09,CYBERTECH,145.68
22-12-2025,12:05:40,CYBERTECH,145.68
22-12-2025,12:06:12,CYBERTECH,145.68
22-12-2025,12:06:43,CYBERTECH,145.68
22-12-2025,12:07:14,CYBERTECH,145.68
22-12-2025,12:07:46,CYBERTECH,145.68
22-12-2025,12:08:17,CYBERTECH,145.68
22-12-2025,12:08:48,CYBERTECH,145.68
22-12-2025,12:09:20,CYBERTECH,145.68
22-12-2025,12:09:51,CYBERTECH,145.68
22-12-2025,12:10:23,CYBERTECH,145.68
22-12-2025,12:10:54,CYBERTECH,145.68
22-12-2025,12:11:25,CYBERTECH,145.68
22-12-2025,12:11:57,CYBERTECH,145.68
22-12-2025,12:12:28,CYBERTECH,145.68
22-12-2025,12:12:59,CYBERTECH,145.68
22-12-2025,12:13:30,CYBERTECH,145.68
22-12-2025,12:14:02,CYBERTECH,145.68
22-12-2025,12:14:34,CYBERTECH,145.68
22-12-2025,12:15:05,CYBERTECH,145.68
22-12-2025,12:15:36,CYBERTECH,145.68
22-12-2025,12:16:07,CYBERTECH,145.68
22-12-2025,12:16:39,CYBERTECH,145.6
22-12-2025,12:17:12,CYBERTECH,145.6
22-12-2025,12:17:43,CYBERTECH,145.6
22-12-2025,12:18:14,CYBERTECH,145.6
22-12-2025,12:18:45,CYBERTECH,145.6
22-12-2025,12:19:16,CYBERTECH,145.6
22-12-2025,12:19:48,CYBERTECH,145.6
22-12-2025,12:20:19,CYBERTECH,145.6
22-12-2025,12:20:50,CYBERTECH,145.6
22-12-2025,12:21:21,CYBERTECH,145.6
22-12-2025,12:21:53,CYBERTECH,145.6
22-12-2025,12:22:25,CYBERTECH,145.6
22-12-2025,12:22:56,CYBERTECH,145.6
22-12-2025,12:23:27,CYBERTECH,145.6
22-12-2025,12:23:58,CYBERTECH,145.6
22-12-2025,12:24:30,CYBERTECH,145.6
22-12-2025,12:25:01,CYBERTECH,145.6
22-12-2025,12:25:33,CYBERTECH,145.6
22-12-2025,12:26:04,CYBERTECH,145.6
22-12-2025,12:26:35,CYBERTECH,145.6
22-12-2025,12:27:07,CYBERTECH,145.6
22-12-2025,12:27:38,CYBERTECH,145.6
22-12-2025,12:28:09,CYBERTECH,145.6
22-12-2025,12:28:40,CYBERTECH,145.6
22-12-2025,12:29:13,CYBERTECH,145.6
