EXTRACTED_DATE,EXTRACTED_TIME,STOCK_NAME,EXTRACTED_PRICE
22-12-2025,11:46:00,RELIANCE,1570.7
22-12-2025,11:46:32,RELIANCE,1570.6
22-12-2025,11:47:03,RELIANCE,1570.5
22-12-2025,11:47:34,RELIANCE,1570.4
22-12-2025,11:48:05,RELIANCE,1570.6
22-12-2025,11:48:36,RELIANCE,1570.1
22-12-2025,11:49:07,RELIANCE,1570.1
22-12-2025,11:49:38,RELIANCE,1570.1
22-12-2025,11:50:10,RELIANCE,1570.0
22-12-2025,11:52:04,RELIANCE,1570.2
22-12-2025,11:52:35,RELIANCE,1570.1
22-12-2025,11:53:07,RELIANCE,1570.1
22-12-2025,11:53:38,RELIANCE,1570.5
22-12-2025,11:54:09,RELIANCE,1570.1
22-12-2025,11:54:40,RELIANCE,1570.1
22-12-2025,11:55:11,RELIANCE,1570.0
22-12-2025,11:55:43,RELIANCE,1570.1
22-12-2025,11:56:15,RELIANCE,1570.1
22-12-2025,11:56:46,RELIANCE,1570.0
22-12-2025,11:57:18,RELIANCE,1570.0
22-12-2025,11:57:49,RELIANCE,1570.0
22-12-2025,11:58:20,RELIANCE,1569.7
22-12-2025,11:58:51,RELIANCE,1569.2
22-12-2025,11:59:22,RELIANCE,1569.2
22-12-2025,11:59:53,RELIANCE,1569.7
22-12-2025,12:00:25,RELIANCE,1569.4
22-12-2025,12:00:57,RELIANCE,1569.4
22-12-2025,12:01:28,RELIANCE,1569.2
22-12-2025,12:02:00,RELIANCE,1569.2
22-12-2025,12:02:31,RELIANCE,1569.1
22-12-2025,12:03:03,RELIANCE,1569.0
22-12-2025,12:03:34,RELIANCE,1568.6
22-12-2025,12:04:05,RELIANCE,1569.1
22-12-2025,12:04:36,RELIANCE,1568.9
22-12-2025,12:05:08,RELIANCE,1568.9
22-12-2025,12:05:39,RELIANCE,1569.5
22-12-2025,12:06:10,RELIANCE,1569.9
22-12-2025,12:06:42,RELIANCE,1570.4
22-12-2025,12:07:13,RELIANCE,1569.4
22-12-2025,12:07:45,RELIANCE,1569.3
22-12-2025,12:08:16,RELIANCE,1569.5
22-12-2025,12:08:48,RELIANCE,1569.7
22-12-2025,12:09:19,RELIANCE,1569.6
22-12-2025,12:09:51,RELIANCE,1568.6
22-12-2025,12:10:22,RELIANCE,1568.5
22-12-2025,12:10:53,RELIANCE,1568.6
22-12-2025,12:11:25,RELIANCE,1568.3
22-12-2025,12:11:56,RELIANCE,1568.5
22-12-2025,12:12:27,RELIANCE,1568.3
22-12-2025,12:12:58,RELIANCE,1568.3
22-12-2025,12:13:29,RELIANCE,1568.2
22-12-2025,12:14:00,RELIANCE,1567.6
22-12-2025,12:14:32,RELIANCE,1566.6
22-12-2025,12:15:03,RELIANCE,1566.9
22-12-2025,12:15:34,RELIANCE,1567.0
22-12-2025,12:16:06,RELIANCE,1567.3
22-12-2025,12:16:38,RELIANCE,1568.3
22-12-2025,12:17:09,RELIANCE,1567.8
22-12-2025,12:17:41,RELIANCE,1567.8
22-12-2025,12:18:12,RELIANCE,1568.6
22-12-2025,12:18:43,RELIANCE,1568.4
22-12-2025,12:19:15,RELIANCE,1568.2
22-12-2025,12:19:47,RELIANCE,1568.0
22-12-2025,12:20:17,RELIANCE,1569.1
22-12-2025,12:20:49,RELIANCE,1568.9
22-12-2025,12:21:21,RELIANCE,1569.2
22-12-2025,12:21:52,RELIANCE,1569.2
22-12-2025,12:22:23,RELIANCE,1569.5
22-12-2025,12:22:54,RELIANCE,1570.1
22-12-2025,12:23:25,RELIANCE,1569.7
22-12-2025,12:23:57,RELIANCE,1569.4
22-12-2025,12:24:28,RELIANCE,1569.4
22-12-2025,12:24:59,RELIANCE,1569.5
22-12-2025,12:25:31,RELIANCE,1569.6
22-12-2025,12:26:04,RELIANCE,1569.5
22-12-2025,12:26:35,RELIANCE,1569.4
22-12-2025,12:27:06,RELIANCE,1569.5
22-12-2025,12:27:38,RELIANCE,1569.2
22-12-2025,12:28:09,RELIANCE,1569.2
22-12-2025,12:28:40,RELIANCE,1569.0
22-12-2025,12:29:12,RELIANCE,1568.7
22-12-2025,12:29:44,RELIANCE,1568.7
22-12-2025,12:30:15,RELIANCE,1569.2
22-12-2025,12:30:46,RELIANCE,1568.9
22-12-2025,12:31:17,RELIANCE,1568.7
22-12-2025,12:31:49,RELIANCE,1568.8
22-12-2025,12:32:20,RELIANCE,1568.9
22-12-2025,12:32:51,RELIANCE,1568.9
22-12-2025,12:33:22,RELIANCE,1568.9
22-12-2025,12:33:54,RELIANCE,1568.5
22-12-2025,12:34:25,RELIANCE,1568.3
22-12-2025,12:34:56,RELIANCE,1568.6
22-12-2025,12:35:28,RELIANCE,1568.3
22-12-2025,12:36:00,RELIANCE,1568.2
22-12-2025,12:36:31,RELIANCE,1568.2
22-12-2025,12:37:02,RELIANCE,1568.1
22-12-2025,12:37:34,RELIANCE,1568.2
22-12-2025,12:38:05,RELIANCE,1568.1
22-12-2025,12:38:37,RELIANCE,1568.0
22-12-2025,12:39:08,RELIANCE,1568.2
22-12-2025,12:39:40,RELIANCE,1567.6
22-12-2025,12:40:11,RELIANCE,1567.8
22-12-2025,12:40:42,RELIANCE,1567.6
22-12-2025,12:41:13,RELIANCE,1567.6
22-12-2025,12:41:45,RELIANCE,1567.9
22-12-2025,12:42:16,RELIANCE,1567.6
22-12-2025,12:42:47,RELIANCE,1568.5
22-12-2025,12:43:18,RELIANCE,1567.4
22-12-2025,12:43:49,RELIANCE,1567.3
22-12-2025,12:44:21,RELIANCE,1567.1
22-12-2025,12:44:52,RELIANCE,1566.6
22-12-2025,12:45:24,RELIANCE,1566.3
22-12-2025,12:45:55,RELIANCE,1566.5
22-12-2025,12:46:26,RELIANCE,1566.2
22-12-2025,12:46:58,RELIANCE,1565.8
22-12-2025,12:47:29,RELIANCE,1566.1
22-12-2025,12:48:01,RELIANCE,1566.0
22-12-2025,12:48:33,RELIANCE,1565.9
22-12-2025,12:49:04,RELIANCE,1567.7
22-12-2025,12:49:36,RELIANCE,1567.6
22-12-2025,12:50:07,RELIANCE,1567.7
22-12-2025,12:50:38,RELIANCE,1568.3
22-12-2025,12:51:10,RELIANCE,1567.9
22-12-2025,12:51:41,RELIANCE,1567.5
22-12-2025,12:52:12,RELIANCE,1568.1
22-12-2025,12:52:44,RELIANCE,1568.7
22-12-2025,12:53:15,RELIANCE,1569.3
22-12-2025,12:53:46,RELIANCE,1569.6
22-12-2025,12:54:18,RELIANCE,1570.7
22-12-2025,12:54:49,RELIANCE,1570.4
22-12-2025,12:55:20,RELIANCE,1570.9
22-12-2025,12:55:51,RELIANCE,1571.2
22-12-2025,12:56:22,RELIANCE,1570.9
22-12-2025,12:56:55,RELIANCE,1570.7
22-12-2025,12:57:25,RELIANCE,1571.1
22-12-2025,12:57:56,RELIANCE,1570.3
22-12-2025,12:58:27,RELIANCE,1569.9
22-12-2025,12:58:58,RELIANCE,1570.1
22-12-2025,12:59:30,RELIANCE,1570.9
22-12-2025,13:00:02,RELIANCE,1570.6
22-12-2025,13:00:33,RELIANCE,1570.5
22-12-2025,13:01:04,RELIANCE,1570.5
22-12-2025,13:01:35,RELIANCE,1571.3
22-12-2025,13:02:06,RELIANCE,1571.3
22-12-2025,13:02:39,RELIANCE,1571.3
22-12-2025,13:03:10,RELIANCE,1571.5
22-12-2025,13:03:41,RELIANCE,1571.5
22-12-2025,13:04:12,RELIANCE,1571.2
22-12-2025,13:04:43,RELIANCE,1570.9
22-12-2025,13:05:15,RELIANCE,1570.8
22-12-2025,13:05:46,RELIANCE,1570.6
22-12-2025,13:06:17,RELIANCE,1570.5
22-12-2025,13:06:48,RELIANCE,1570.0
22-12-2025,13:07:20,RELIANCE,1570.1
22-12-2025,13:07:51,RELIANCE,1571.4
22-12-2025,13:08:22,RELIANCE,1570.6
22-12-2025,13:08:53,RELIANCE,1571.2
22-12-2025,13:09:24,RELIANCE,1570.7
22-12-2025,13:09:56,RELIANCE,1570.7
22-12-2025,13:10:27,RELIANCE,1570.6
22-12-2025,13:10:58,RELIANCE,1570.6
22-12-2025,13:11:30,RELIANCE,1570.4
22-12-2025,13:12:01,RELIANCE,1570.7
22-12-2025,13:12:33,RELIANCE,1570.8
22-12-2025,13:13:04,RELIANCE,1570.6
22-12-2025,13:13:36,RELIANCE,1570.7
22-12-2025,13:14:07,RELIANCE,1570.8
22-12-2025,13:14:38,RELIANCE,1570.7
22-12-2025,13:15:09,RELIANCE,1570.8
22-12-2025,13:15:40,RELIANCE,1570.9
22-12-2025,13:16:11,RELIANCE,1570.9
22-12-2025,13:16:43,RELIANCE,1571.0
22-12-2025,15:58:20,RELIANCE,1577.0
22-12-2025,15:58:51,RELIANCE,1577.0
22-12-2025,15:59:22,RELIANCE,1577.0
22-12-2025,15:59:53,RELIANCE,1577.0
